,funded_amnt,funded_amnt_inv,loan_amnt,loan_status,title,dti,zip_code,addr_state,emp_length,policy_code
694363,21550.0,21550.0,21550.0,Charged Off,Debt consolidation,14.02,894xx,NV,< 1 year,1.0
471099,10500.0,10500.0,10500.0,Fully Paid,Debt consolidation,20.67,985xx,WA,10+ years,1.0
497651,10000.0,10000.0,10000.0,Current,Debt consolidation,28.7,937xx,CA,10+ years,1.0
1424167,27000.0,27000.0,27000.0,Current,Debt consolidation,17.46,178xx,PA,2 years,1.0
1886646,35000.0,35000.0,35000.0,Fully Paid,Investments,6.66,021xx,MA,10+ years,1.0
1264582,12000.0,12000.0,12000.0,Fully Paid,Debt consolidation,2.69,330xx,FL,10+ years,1.0
445243,18000.0,18000.0,18000.0,Current,Debt consolidation,9.94,300xx,GA,,1.0
875851,5000.0,5000.0,5000.0,Current,Home improvement,8.69,799xx,TX,3 years,1.0
2173261,9000.0,9000.0,9000.0,Current,Other,32.17,300xx,GA,10+ years,1.0
1050426,16000.0,16000.0,16000.0,Fully Paid,Credit card refinancing,16.89,980xx,WA,7 years,1.0
778794,35000.0,35000.0,35000.0,Current,Debt consolidation,24.37,029xx,RI,8 years,1.0
660049,2000.0,2000.0,2000.0,In Grace Period,Debt consolidation,20.12,972xx,OR,< 1 year,1.0
1949550,1000.0,1000.0,1000.0,Fully Paid,Other,19.83,211xx,MD,3 years,1.0
1436016,30000.0,30000.0,30000.0,Current,Credit card refinancing,28.72,113xx,NY,< 1 year,1.0
14924,2000.0,2000.0,2000.0,Fully Paid,Debt consolidation,33.17,923xx,CA,6 years,1.0
1536665,12500.0,12500.0,12500.0,Current,Other,2.75,337xx,FL,3 years,1.0
1301437,15250.0,15250.0,15250.0,Charged Off,Debt consolidation,18.1,024xx,MA,< 1 year,1.0
1616079,15125.0,15125.0,15125.0,Fully Paid,Debt consolidation,19.7,914xx,CA,8 years,1.0
1890350,23925.0,23925.0,23925.0,Fully Paid,Debt consolidation,12.42,070xx,NJ,7 years,1.0
361428,12000.0,12000.0,12000.0,Charged Off,Debt consolidation,4.59,372xx,TN,10+ years,1.0
2015057,2200.0,2200.0,2200.0,Fully Paid,Car financing,28.9,917xx,CA,8 years,1.0
1807511,6400.0,6400.0,6400.0,Fully Paid,Loan1,21.79,325xx,FL,10+ years,1.0
830935,3250.0,3250.0,3250.0,Current,Debt consolidation,6.52,553xx,MN,9 years,1.0
1262817,4000.0,4000.0,4000.0,Fully Paid,Debt consolidation,12.1,495xx,MI,4 years,1.0
