,Amount Requested,Loan Title,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
6160574,20000.0,Credit card refinancing,100%,452xx,OH,< 1 year,0.0
4100285,25000.0,debt_consolidation,1.14%,948xx,CA,5 years,0.0
188890,25000.0,other,19.71%,335xx,FL,< 1 year,0.0
8575099,8000.0,moving,14.69%,770xx,TX,< 1 year,0.0
4220478,5000.0,Debt consolidation,11.19%,299xx,SC,< 1 year,0.0
17093518,1000.0,Other,2.83%,386xx,MS,3 years,0.0
27559267,12000.0,Major purchase,0.13%,611xx,IL,< 1 year,0.0
11397740,5000.0,Credit card refinancing,19.38%,275xx,NC,< 1 year,0.0
5725653,15000.0,Debt consolidation,51.26%,300xx,GA,< 1 year,0.0
26118859,12000.0,debt_consolidation,17.68%,891xx,NV,< 1 year,0.0
23148634,25000.0,Credit card refinancing,10.91%,301xx,GA,,0.0
15885541,5000.0,Other,16.6%,301xx,GA,,0.0
26032157,10000.0,medical,49.69%,982xx,WA,,0.0
5984868,15350.0,Credit card refinancing,31.96%,061xx,CT,< 1 year,0.0
10728275,40000.0,Debt consolidation,13.24%,920xx,CA,< 1 year,0.0
21393624,20000.0,Business,29.42%,925xx,CA,< 1 year,0.0
26176259,10000.0,credit_card,9.58%,930xx,CA,< 1 year,0.0
4257485,25000.0,Credit card refinancing,2.74%,465xx,IN,< 1 year,0.0
6897306,10000.0,Debt consolidation,40.41%,117xx,NY,< 1 year,0.0
20503559,10000.0,Debt consolidation,56.54%,405xx,KY,< 1 year,0.0
13613308,26000.0,debt_consolidation,44.55%,577xx,SD,,0.0
17134975,30000.0,Debt consolidation,23.93%,189xx,PA,< 1 year,0.0
26073086,30000.0,debt_consolidation,23.22%,225xx,VA,5 years,0.0
21978278,1000.0,moving,0%,989xx,WA,5 years,0.0
6192034,1000.0,Other,16.61%,207xx,MD,< 1 year,0.0
23267609,35000.0,credit_card,18.54%,956xx,CA,5 years,0.0
25917380,100000.0,Business Loan,-1%,334xx,FL,< 1 year,0.0
16470546,25000.0,Debt consolidation,43.42%,298xx,SC,< 1 year,0.0
16983288,2000.0,Other,0%,018xx,MA,< 1 year,0.0
11647628,30000.0,Debt consolidation,23.94%,234xx,VA,< 1 year,0.0
1173888,10000.0,debt_consolidation,15.1%,930xx,CA,5 years,0.0
18830301,14000.0,Credit card refinancing,19.73%,900xx,CA,< 1 year,0.0
19970332,40000.0,Debt consolidation,36.16%,300xx,GA,< 1 year,0.0
20235340,7000.0,Debt consolidation,100%,114xx,NY,< 1 year,0.0
23187378,8000.0,debt_consolidation,36.84%,327xx,FL,< 1 year,0.0
3553072,1500.0,debt_consolidation,16.71%,532xx,WI,5 years,0.0
24023565,12000.0,debt_consolidation,14.57%,960xx,CA,< 1 year,0.0
18115752,15425.0,Car financing,100%,296xx,SC,< 1 year,0.0
2304873,35000.0,debt_consolidation,34.99%,347xx,FL,5 years,0.0
2157992,10000.0,debt_consolidation,11.43%,940xx,CA,< 1 year,0.0
3506538,5000.0,debt_consolidation,-1%,402xx,KY,5 years,0.0
8924302,2000.0,debt_consolidation,9.52%,900xx,CA,< 1 year,0.0
18404464,1000.0,Debt consolidation,44.16%,917xx,CA,< 1 year,0.0
21121037,3000.0,Major purchase,9.01%,433xx,OH,< 1 year,0.0
1923828,10000.0,home_improvement,0.86%,440xx,OH,< 1 year,0.0
2703546,20000.0,home_improvement,10.68%,945xx,CA,5 years,0.0
423221,16000.0,debt_consolidation,22.38%,112xx,NY,< 1 year,0.0
13370790,5000.0,Credit card refinancing,27.45%,853xx,AZ,< 1 year,0.0
18218791,8000.0,Debt consolidation,24.14%,301xx,GA,< 1 year,0.0
8852186,4000.0,debt_consolidation,29.32%,449xx,OH,< 1 year,0.0
18970921,1000.0,Car financing,100%,906xx,CA,1 year,0.0
6057641,15000.0,Credit card refinancing,280.22%,953xx,CA,< 1 year,0.0
17084772,6000.0,Major purchase,114.94%,104xx,NY,< 1 year,0.0
19773799,3500.0,major_purchase,13.12%,117xx,NY,5 years,0.0
15263762,15000.0,Credit card refinancing,21.92%,070xx,NJ,< 1 year,0.0
14676690,25000.0,Home buying,14.22%,310xx,GA,,0.0
27583851,40000.0,Business Loan,-1%,761xx,TX,< 1 year,2.0
11099756,10000.0,Credit card refinancing,4.39%,935xx,CA,< 1 year,0.0
24235318,3000.0,debt_consolidation,29.06%,941xx,CA,< 1 year,0.0
15242890,10000.0,Business Loan,-1%,462xx,IN,< 1 year,0.0
4019679,10000.0,small_business,1.31%,027xx,MA,5 years,0.0
27624391,10000.0,debt_consolidation,39.33%,040xx,ME,< 1 year,0.0
12105625,5000.0,car,25.03%,187xx,PA,< 1 year,0.0
23436717,2500.0,debt_consolidation,12.25%,785xx,TX,< 1 year,0.0
2145257,7000.0,debt_consolidation,54.5%,751xx,TX,< 1 year,0.0
3203305,6000.0,car,0%,727xx,AR,5 years,0.0
4001035,1000.0,Moving and relocation,28.25%,150xx,PA,< 1 year,0.0
11665846,5000.0,debt_consolidation,46.99%,775xx,TX,< 1 year,0.0
24501222,25000.0,debt_consolidation,35.34%,934xx,CA,< 1 year,0.0
24109478,25000.0,debt_consolidation,9.5%,109xx,NY,< 1 year,0.0
6888029,1000.0,Other,0%,711xx,LA,< 1 year,0.0
20702298,7500.0,Credit card refinancing,138.55%,754xx,TX,< 1 year,0.0
17735045,37000.0,Debt consolidation,9.03%,275xx,NC,< 1 year,0.0
2717736,30000.0,debt_consolidation,30.73%,125xx,NY,< 1 year,0.0
1756847,2500.0,debt_consolidation,9.86%,551xx,MN,5 years,0.0
13609514,5000.0,other,2.12%,305xx,GA,< 1 year,0.0
11319988,40000.0,Debt consolidation,132.62%,992xx,WA,< 1 year,0.0
5465997,30000.0,Home buying,33.72%,925xx,CA,< 1 year,0.0
27136248,12000.0,Debt consolidation,13.1%,482xx,MI,< 1 year,0.0
13773637,1800.0,debt_consolidation,47.21%,626xx,IL,< 1 year,0.0
3642765,1500.0,other,5.55%,900xx,CA,< 1 year,0.0
345179,14000.0,debt_consolidation,34.32%,720xx,AR,< 1 year,0.0
11020244,10000.0,Moving and relocation,2.18%,601xx,IL,< 1 year,0.0
12455583,0.0,,-1%,808xx,CO,< 1 year,0.0
19799716,25000.0,Debt consolidation,0.6%,387xx,MS,< 1 year,0.0
18896039,35000.0,Debt consolidation,66.4%,913xx,CA,< 1 year,0.0
15086901,1000.0,Debt consolidation,21.06%,957xx,CA,< 1 year,0.0
27298559,1200.0,other,42.41%,804xx,CO,5 years,0.0
21065812,18000.0,Debt consolidation,61.62%,470xx,IN,< 1 year,0.0
10428179,3200.0,Other,26.37%,305xx,GA,< 1 year,0.0
13581887,1000.0,moving,21.6%,604xx,IL,5 years,0.0
23482610,24000.0,debt_consolidation,20.27%,231xx,VA,< 1 year,0.0
263962,35000.0,credit_card,30.48%,274xx,NC,< 1 year,0.0
6278420,1000.0,Major purchase,0.39%,238xx,VA,< 1 year,0.0
1040545,6000.0,small_business,3%,295xx,SC,5 years,0.0
15370672,35000.0,Debt consolidation,6.44%,019xx,MA,< 1 year,0.0
12242282,1300.0,car,21.82%,675xx,KS,< 1 year,0.0
5466051,10000.0,Debt consolidation,21.35%,327xx,FL,< 1 year,0.0
16008493,13000.0,Debt consolidation,52.15%,531xx,WI,< 1 year,0.0
3775849,10000.0,Home improvement,73.36%,212xx,MD,< 1 year,0.0
26034663,12000.0,Debt consolidation,31.99%,852xx,AZ,< 1 year,0.0
8678485,2000.0,car,4.8%,946xx,CA,< 1 year,0.0
4738698,20000.0,Credit card refinancing,14.6%,431xx,OH,< 1 year,0.0
6957555,3000.0,Other,0%,890xx,NV,< 1 year,0.0
23494401,2500.0,small_business,-1%,770xx,TX,< 1 year,0.0
13087554,5000.0,other,-1%,115xx,NY,< 1 year,0.0
1587378,1000.0,home_improvement,0%,075xx,NJ,< 1 year,0.0
6117040,2800.0,Other,21.2%,720xx,AR,,0.0
7463854,10500.0,credit_card,26.24%,029xx,RI,< 1 year,0.0
13974640,26000.0,debt_consolidation,85.26%,441xx,OH,< 1 year,0.0
6379549,10000.0,Debt consolidation,15.13%,953xx,CA,< 1 year,0.0
23013339,15000.0,credit_card,40.4%,107xx,NY,< 1 year,0.0
631523,3000.0,debt_consolidation,4.17%,112xx,NY,< 1 year,0.0
19783678,35000.0,Major purchase,40.71%,948xx,CA,< 1 year,0.0
18334110,5000.0,Credit card refinancing,14.64%,980xx,WA,< 1 year,0.0
15119681,1000.0,Other,15.28%,011xx,MA,< 1 year,0.0
6338840,1000.0,Debt consolidation,1.15%,462xx,IN,< 1 year,0.0
9648965,2700.0,debt_consolidation,19.93%,296xx,SC,< 1 year,0.0
20559066,12000.0,Home improvement,0.8%,553xx,MN,< 1 year,0.0
10227480,10000.0,Home buying,100%,100xx,NY,< 1 year,0.0
1192824,1500.0,house,0%,338xx,FL,< 1 year,0.0
19996277,5000.0,Other,20.93%,327xx,FL,< 1 year,0.0
16180249,20000.0,Debt consolidation,39.64%,134xx,NY,< 1 year,0.0
311285,1500.0,other,4.81%,112xx,NY,2 years,0.0
23697656,5000.0,debt_consolidation,20.03%,953xx,CA,< 1 year,0.0
22186467,20000.0,Other,3.24%,968xx,HI,3 years,0.0
11741348,1000.0,other,0%,714xx,LA,5 years,0.0
8048763,6000.0,major_purchase,71.3%,463xx,IN,< 1 year,0.0
980598,10000.0,other,8.95%,207xx,MD,< 1 year,0.0
17495243,2500.0,Debt consolidation,19.06%,982xx,WA,< 1 year,0.0
24549822,5000.0,debt_consolidation,17.01%,641xx,MO,< 1 year,0.0
20962601,30000.0,Home buying,1.94%,302xx,GA,10+ years,0.0
10984123,10000.0,Other,8.01%,925xx,CA,< 1 year,0.0
17944245,6000.0,Credit card refinancing,13.26%,902xx,CA,< 1 year,0.0
23193289,2900.0,home_improvement,100.24%,310xx,GA,< 1 year,0.0
27524963,8000.0,home_improvement,8777.39%,797xx,TX,,0.0
15381315,10000.0,Home buying,100%,983xx,WA,< 1 year,0.0
3005426,20000.0,debt_consolidation,39.23%,201xx,VA,< 1 year,0.0
10869798,10000.0,Debt consolidation,19.1%,166xx,PA,< 1 year,0.0
26084418,20000.0,debt_consolidation,47.94%,064xx,CT,,0.0
17786536,1500.0,Other,34.45%,731xx,OK,< 1 year,0.0
8116066,2500.0,credit_card,21.84%,263xx,WV,< 1 year,0.0
2717981,8000.0,debt_consolidation,6.06%,349xx,FL,< 1 year,0.0
20156614,21800.0,Car financing,100%,123xx,NY,< 1 year,0.0
23033027,10000.0,credit_card,0.2%,750xx,TX,< 1 year,0.0
